table_name	column_name	data_type	character_maximum_length	is_nullable
category_mst	cat_category_id	integer		NO
category_mst	cat_category_code	character varying	20	NO
category_mst	cat_category_name	character varying	100	NO
category_mst	cat_desc	character varying	255	YES
category_mst	cat_isactive	boolean		NO
category_mst	cat_created_by	character varying	50	YES
category_mst	cat_created_on	timestamp without time zone		NO
category_mst	cat_modified_by	character varying	50	YES
category_mst	cat_modified_on	timestamp without time zone		YES
genmaster_mst	gmst_genmaster_id	integer		NO
genmaster_mst	gmst_value_code	character varying	20	NO
genmaster_mst	gmst_value_name	character varying	100	NO
genmaster_mst	gmst_gentype_id_gtyp	integer		NO
genmaster_mst	gmst_sort_order	integer		YES
genmaster_mst	gmst_desc	character varying	255	YES
genmaster_mst	gmst_isactive	boolean		NO
genmaster_mst	gmst_created_by	character varying	50	YES
genmaster_mst	gmst_created_on	timestamp without time zone		NO
genmaster_mst	gmst_modified_by	character varying	50	YES
genmaster_mst	gmst_modified_on	timestamp without time zone		YES
gentype_mst	gtyp_gentype_id	integer		NO
gentype_mst	gtyp_type_code	character varying	20	NO
gentype_mst	gtyp_type_name	character varying	100	NO
gentype_mst	gtyp_desc	character varying	255	YES
gentype_mst	gtyp_isactive	boolean		NO
gentype_mst	gtyp_created_by	character varying	50	YES
gentype_mst	gtyp_created_on	timestamp without time zone		NO
gentype_mst	gtyp_modified_by	character varying	50	YES
gentype_mst	gtyp_modified_on	timestamp without time zone		YES
hrc_employee_mst	emp_employee_id	integer		NO
hrc_employee_mst	emp_employee_code	character varying	20	NO
hrc_employee_mst	emp_first_name	character varying	50	NO
hrc_employee_mst	emp_last_name	character varying	50	YES
hrc_employee_mst	emp_gender	character	1	YES
hrc_employee_mst	emp_dob	date		YES
hrc_employee_mst	emp_joining_date	date		YES
hrc_employee_mst	emp_employment_type	character varying	20	YES
hrc_employee_mst	emp_designation	character varying	100	YES
hrc_employee_mst	emp_department	character varying	100	YES
hrc_employee_mst	emp_email	character varying	100	NO
hrc_employee_mst	emp_phone	character varying	15	YES
hrc_employee_mst	emp_alt_phone	character varying	15	YES
hrc_employee_mst	emp_role_id_rol	integer		NO
hrc_employee_mst	emp_base_location_id_loc	integer		YES
hrc_employee_mst	emp_reporting_to_emp_id_emp	integer		YES
hrc_employee_mst	emp_isactive	boolean		NO
hrc_employee_mst	emp_created_by	character varying	50	YES
hrc_employee_mst	emp_created_on	timestamp without time zone		NO
hrc_employee_mst	emp_modified_by	character varying	50	YES
hrc_employee_mst	emp_modified_on	timestamp without time zone		YES
inv_item_mst	itm_item_id	integer		NO
inv_item_mst	itm_item_code	character varying	30	NO
inv_item_mst	itm_item_name	character varying	150	NO
inv_item_mst	itm_item_type	character varying	20	NO
inv_item_mst	itm_category_id_cat	integer		YES
inv_item_mst	itm_subcategory_id_scat	integer		YES
inv_item_mst	itm_uom_id_unt	integer		NO
inv_item_mst	itm_standard_cost	numeric		YES
inv_item_mst	itm_image_url	character varying	255	YES
inv_item_mst	itm_desc	character varying	500	YES
inv_item_mst	itm_remarks	character varying	255	YES
inv_item_mst	itm_asset_type	character varying	50	YES
inv_item_mst	itm_make_brand	character varying	100	YES
inv_item_mst	itm_model	character varying	100	YES
inv_item_mst	itm_serial_no	character varying	100	YES
inv_item_mst	itm_purchase_date	date		YES
inv_item_mst	itm_purchase_cost	numeric		YES
inv_item_mst	itm_useful_life_years	numeric		YES
inv_item_mst	itm_warranty_expiry	date		YES
inv_item_mst	itm_depreciation_method	character varying	30	YES
inv_item_mst	itm_depreciation_rate	numeric		YES
inv_item_mst	itm_assigned_to_emp_id_emp	integer		YES
inv_item_mst	itm_current_location_id_loc	integer		YES
inv_item_mst	itm_is_serialized	boolean		YES
inv_item_mst	itm_is_returnable	boolean		YES
inv_item_mst	itm_is_under_amc	boolean		YES
inv_item_mst	itm_is_insurance_required	boolean		YES
inv_item_mst	itm_consumable_type	character varying	30	YES
inv_item_mst	itm_shelf_bin	character varying	30	YES
inv_item_mst	itm_expiry_date	date		YES
inv_item_mst	itm_batch_lot_no	character varying	50	YES
inv_item_mst	itm_track_batch_lot	boolean		YES
inv_item_mst	itm_track_expiry	boolean		YES
inv_item_mst	itm_is_consumable	boolean		YES
inv_item_mst	itm_allow_negative_stock	boolean		YES
inv_item_mst	itm_isactive	boolean		NO
inv_item_mst	itm_created_by	character varying	50	YES
inv_item_mst	itm_created_on	timestamp without time zone		NO
inv_item_mst	itm_modified_by	character varying	50	YES
