itemCode,itemName,itemType,categoryCode,subcategoryCode,uomCode,makeBrand,model,ram,storage,isSerialized,isActive,description
CAM-ARDUCAM-UC-733,ARDUCAM UC -733,asset,CAT-IT,SC-PERIPH,NOS,Arducam,UC -733,,,Y,Y,USB CAMERA MODULE catalog from office assets workbook
CAM-BAUMER-VCXU-123C,BAUMER VCXU-123c,asset,CAT-IT,SC-PERIPH,NOS,Baumer,VCXU-123c,,,Y,Y,CAMERA catalog from office assets workbook
CAM-BAUMER-VCXU-2-241C,BAUMER VCXU.2-241C,asset,CAT-IT,SC-PERIPH,NOS,Baumer,VCXU.2-241C,,,Y,Y,CAMERA catalog from office assets workbook
CAM-HIKVISIS-DS-UD,HIKVISISION DS-UD,asset,CAT-IT,SC-PERIPH,NOS,Hikvisision,DS-UD,,,Y,Y,USB TYPE CAMERA catalog from office assets workbook
CAM-LAPCARE-LWC-009,LAPCARE LWC-009,asset,CAT-IT,SC-PERIPH,NOS,Lapcare,LWC-009,,,Y,Y,USB TYPE CAMERA catalog from office assets workbook
CAM-LAPCARE-LWC-042,LAPCARE LWC-042,asset,CAT-IT,SC-PERIPH,NOS,Lapcare,LWC-042,,,Y,Y,USB TYPE CAMERA catalog from office assets workbook
CAM-UNKNOWN-,UNKNOWN,asset,CAT-IT,SC-PERIPH,NOS,,,,,Y,Y,CAMERA catalog from office assets workbook
CAM-UNKNOWN-IMX179,UNKNOWN IMX179,asset,CAT-IT,SC-PERIPH,NOS,,IMX179,,,Y,Y,CAMERA WITH EMBEDDED MIC catalog from office assets workbook
DESK-1-DELL-MONITOR-27-IN,1 Dell Monitor 27 Inch TFT - S2721QS,asset,CAT-IT,SC-DESKTOP,NOS,1,Dell Monitor 27 Inch TFT - S2721QS,,,Y,Y,DESKTOP catalog from office assets workbook
DESK-2-ACER-MONITOR27-INC,2 Acer Monitor27 Inch KA270,asset,CAT-IT,SC-DESKTOP,NOS,2,Acer Monitor27 Inch KA270,,,Y,Y,DESKTOP catalog from office assets workbook
DESK-3-ACER-MONITOR27-INC,3 Acer Monitor27 Inch KA270,asset,CAT-IT,SC-DESKTOP,NOS,3,Acer Monitor27 Inch KA270,,,Y,Y,DESKTOP catalog from office assets workbook
DESK-4-AOC-MONITER27-INCH,4 AOC Moniter27 Inch 27B2H,asset,CAT-IT,SC-DESKTOP,NOS,4,AOC Moniter27 Inch 27B2H,,,Y,Y,DESKTOP catalog from office assets workbook
DESK-5-AOC-MONITER27-INCH,5 AOC Moniter27 Inch27B2H,asset,CAT-IT,SC-DESKTOP,NOS,5,AOC Moniter27 Inch27B2H,,,Y,Y,DESKTOP catalog from office assets workbook
DESK-6-ACER-MONITER27-INC,6 Acer Moniter27 Inch27B2H,asset,CAT-IT,SC-DESKTOP,NOS,6,Acer Moniter27 Inch27B2H,,,Y,Y,DESKTOP catalog from office assets workbook
DESK-7-AOC-E2239FWT-215LM,7 AOC E2239FWT (215LM00005),asset,CAT-IT,SC-DESKTOP,NOS,7,AOC E2239FWT (215LM00005),,,Y,Y,DESKTOP catalog from office assets workbook
DESK-ACER-VERITON-SERIES,ACER Veriton Series,asset,CAT-IT,SC-DESKTOP,NOS,Acer,Veriton Series,4 GB,320 GB,Y,Y,DESKTOP catalog from office assets workbook
DESK-ASUS-A-F-K31AN,ASUS A_F_K31AN,asset,CAT-IT,SC-DESKTOP,NOS,Asus,A_F_K31AN,8 GB,240 GB,Y,Y,DESKTOP catalog from office assets workbook
DESK-HP-COMPAQ-DX2480,HP COMPAQ DX2480,asset,CAT-IT,SC-DESKTOP,NOS,Hp,COMPAQ DX2480,5 GB,380GB,Y,Y,DESKTOP catalog from office assets workbook
DESK-HP-HP-COMPAQ-6200-PRO,HP HP Compaq 6200 Pro SFF PC,asset,CAT-IT,SC-DESKTOP,NOS,Hp,HP Compaq 6200 Pro SFF PC,8 GB,240 GB,Y,Y,DESKTOP catalog from office assets workbook
